Rotation        :                
TransformRT     :                
Transform       :                
ShearTransform  :                
PivotTransform  :                
Sphere          :                
Capsule         :                
BoundingBox     :                
OrientedBoundingBox :                
RandomNumberGenerator :                
Entity          :                
FilePtrStringMapPropertyDifference : PropertyDifference
EntityHandleStringMapPropertyDifference : PropertyDifference
EntityLinkStringMapPropertyDifference : PropertyDifference
WideVector3StringMapPropertyDifference : PropertyDifference
EntityDifference : Entity         
DataSetDifference : Entity         
DataSetReference : TransformData  
DataSetReferenceBody : TransformDataBody
FoxFlagContainer : Entity         
Locator         : TransformData  
LocatorBody     : TransformDataBody
LabelObject     : Entity         
ConnectPointFile : RawFile        
FoxDataLinkCollectorData : Data           
FoxDataLinkCollectorDataBody : DataBody       
FoxDataLinkCollector : Entity         
ScriptBlockScript : Data           
ScriptBlockData : Data           
SyncUniqueId    : Entity         
SyncInstance    : Entity         
SyncFactory2    : SyncInstance   
Replay          : Entity         
NtMemberSyncInstance : SyncInstance   
RigFile         : RawFile        
GaniBaseFile    : RawFile        
MtFile          : GaniBaseFile   
EvbFile         : RawFile        
EvfFile         : DataSetFile2   
MtarFile        : RawFile        
CaarFile        : RawFile        
SandFile        : RawFile        
TimeSection     : DataElement    
EventDataUnit   : Data           
ParameterMaskElement : DataElement    
FacialMaskElement : DataElement    
FacialSettingData : Data           
MaterialInfoBase : Entity         
MaterialInfo    : MaterialInfoBase
ColorInfo       : MaterialInfoBase
GeoMaterialCache : Entity         
GeoShape        : TransformData  
GeoShapeBody    : TransformDataBody
GeoGeomFile     : RawFile        
GeoGsklFile     : RawFile        
GeoTrapFile     : RawFile        
GeoBoundingVolumeFile : RawFile        
CollisionObject : Entity         
CollisionPoly   : CollisionObject
CollisionReference : CollisionObject
CollisionReferenceSet : CollisionObject
CollisionGeomSet : CollisionObject
CollisionSkeleton : CollisionObject
CollisionSkeletonCreater : Entity         
GeoCollisionTerrain2 : Entity         
GeoCollisionTerrainMap : Entity         
GeoCollisionPrimitiveBase : CollisionObject
GeoCollisionCircle : GeoCollisionPrimitiveBase
GeoCollisionRect : GeoCollisionPrimitiveBase
GeoCollisionFreeShape : CollisionObject
GeoCollisionPyramidFreeShape : CollisionObject
GeoPathUnit     : TransformData  
GeoPathUnitBody : TransformDataBody
GeoPathGeomHeader : Entity         
GeoPathFixedPackFile : RawFile        
GeoPathService  : Entity         
GeoSearchObject : Entity         
GeoSearchService : Entity         
GeoSearchPoint  : GeoSearchObject
GeoSearchAABB   : GeoSearchObject
GeoSearchOBB    : GeoSearchObject
GeoSearchSphere : GeoSearchObject
GeoSearchLine   : GeoSearchObject
GeoSearchSegment : GeoSearchObject
GeoSearchCapsule : GeoSearchObject
GeoSearchDynamic : GeoSearchObject
TargetExtensionData : Entity         
GeoTrapCondition : TransformData  
GeoTrapConditionBody : TransformDataBody
GeoTrapScriptCondition : GeoTrapCondition
GeoTrapScriptConditionBody : GeoTrapConditionBody
GeoTrapScriptModuleCondition : GeoTrapCondition
GeoTrapScriptModuleConditionBody : GeoTrapConditionBody
GeoTrapInfo     : Entity         
GeoTrap         : TransformData  
GeoTrapBody     : TransformDataBody
GeoTriggerTrap  : TransformData  
GeoTrapGeomHeader : Entity         
GeoTrapModuleCallbackDataElement : DataElement    
GeoCheckModuleCondition : GeoTrapCondition
GeoCheckModuleConditionBody : GeoTrapConditionBody
GeoModuleCondition : GeoTrapCondition
GeoModuleConditionBody : GeoTrapConditionBody
GeoTrapExecScriptCondition : GeoCheckModuleCondition
GeoTrapExecScriptConditionBody : GeoCheckModuleConditionBody
GeoTrapScriptCallbackDataElement : GeoTrapModuleCallbackDataElement
RailFile        : RawFile        
RailUniqueIdFile : RawFile        
GrDaemon        : Actor          
GrCamera        : Entity         
GrTools         : Entity         
TerrainMaterialConfigration : Data           
GrViewport      : Entity         
TerrainTileFile : RawFile        
TerrainFile     : RawFile        
FmdlFile        : RawFile        
GrGraphicsSettingManager : Entity         
GrRenderPlugin  : Entity         
GrPlugin2D      : GrRenderPlugin 
GrPlugin2DFrontmost : GrPlugin2D     
GrPlugin2DShrink : GrPlugin2D     
GrPluginAlphaModel : GrRenderPlugin 
GrPluginClone   : GrRenderPlugin 
GrPluginCloneDeferred : GrPluginClone  
GrPluginCloneWireframe : GrPluginClone  
GrPluginColorCorrection : GrRenderPlugin 
GrPluginDecal   : GrRenderPlugin 
GrPluginRawDecal : GrRenderPlugin 
GrPluginDeferredGeometry : GrRenderPlugin 
GrPluginDeferredGeometryOpaque : GrRenderPlugin 
GrPluginDeferredGeometryDecal : GrPluginDeferredGeometryOpaque
GrPluginDeferredGeometryMasked : GrPluginDeferredGeometryOpaque
GrPluginMaterialLayer : GrRenderPlugin 
GrPluginDeferredRendering : GrRenderPlugin 
GrPluginDeferredShading : GrRenderPlugin 
GrPluginDepthOfField : GrRenderPlugin 
GrPluginExtendFxModel : GrRenderPlugin 
GrPluginForwardRendering : GrRenderPlugin 
GrPluginOverlayModel : GrRenderPlugin 
GrPluginGlobalVolumetricFog : GrRenderPlugin 
GrPluginLightAccumulateLayer : GrRenderPlugin 
GrPluginLineIntegralSSAO : GrRenderPlugin 
GrPluginLocalLight : GrRenderPlugin 
GrPluginModel   : GrRenderPlugin 
GrPluginModelSetup : GrRenderPlugin 
GrPluginMotionBlur : GrRenderPlugin 
GrPluginOccluder : GrRenderPlugin 
GrPluginOpticalCamouflage : GrRenderPlugin 
GrPluginPostFilter : GrRenderPlugin 
GrPluginPrecomputeSky : GrRenderPlugin 
GrPluginPrimitive : GrRenderPlugin 
GrPluginPrimitiveUnfiltered : GrPluginPrimitive
GrPluginScreenCapture : GrRenderPlugin 
GrPluginScreenSpaceAmbientOcclusion : GrRenderPlugin 
GrPluginShadow  : GrRenderPlugin 
GrPluginSphericalHarmonics : GrRenderPlugin 
GrPluginSky     : GrRenderPlugin 
GrPluginSunlight : GrRenderPlugin 
GrPluginSubSurfaceScatter : GrRenderPlugin 
GrPluginAmbientObscuranceSSAO : GrRenderPlugin 
GrPluginTerrain : GrRenderPlugin 
GrPluginSeflShadowOfTerrain : GrRenderPlugin 
GrPluginTerrainDepth : GrPluginTerrain
GrPluginThermography : GrRenderPlugin 
GrPluginTonemap : GrRenderPlugin 
GrPluginViewCallback : GrRenderPlugin 
GrPluginFxaa    : GrRenderPlugin 
GrPluginWormhole : GrRenderPlugin 
GrPluginLocelReflection : GrRenderPlugin 
GrPluginPrimitiveDebug : GrPluginPrimitiveUnfiltered
GrViewportParameter : Entity         
GrFilmicTonemapParameter : GrViewportParameter
GrSkyParameter  : GrViewportParameter
GrViewportRenderingParameters : GrViewportParameter
GrViewportLightingParameters : GrViewportParameter
GrViewportColorCorrectionParameters : GrViewportParameter
GrFilmicTonemap : Data           
FilmicTonemapBody : DataBody       
NavCurrentNavigationDesc : Entity         
NavNavFile      : RawFile        
NavWorldDesc    : Entity         
NavUnitHandleEntity : Entity         
NavNavigationGraphHandleEntity : NavUnitHandleEntity
NavEdgeHandleEntity : NavNavigationGraphHandleEntity
NavWorldDaemon  : Entity         
NavNavigationParameter : Entity         
NavNavigationParameterHolder : Entity         
NavVehicleNavigationParameter : NavNavigationParameter
NclDaemon       : Entity         
NclTransactionCallback :                
GameObject      : Data           
GameObjectDataBody : DataBody       
GameObjectLocator : TransformData  
GameObjectLocatorBody : TransformDataBody
BlockScript     : Data           
BlockScriptBody : DataBody       
GrxShape        : Entity         
LightUtility    : Entity         
PointLightBody  : TransformDataBody
PointLight      : TransformData  
DirectionalLightBody : TransformDataBody
DirectionalLight : TransformData  
SpotLightBody   : TransformDataBody
SpotLight       : TransformData  
HorizonBody     : TransformDataBody
Horizon         : TransformData  
LightArray      : TransformData  
LightArrayBody  : TransformDataBody
LightArrayFile  : RawFile        
PeriodicActor   : Actor          
PluginSettingsBody : DataBody       
GrPluginSettings : Data           
ColorCorrectionData : Data           
ColorCorrection : DataBody       
GlobalCameraSettings : Data           
GlobalCameraSettingsBody : DataBody       
GrxLineSSAOParameters : Entity         
GrxAreaSSAOParameters : Entity         
AmbientOcclusionSettings : Data           
AmbientOcclusionSettingsBody : DataBody       
GrxUtil         : Entity         
Occluder        : TransformData  
GrxOccluderBody : TransformDataBody
OccluderEx      : TransformData  
GrxOccluderExBody : TransformDataBody
OccluderArray   : TransformData  
OccluderArrayBody : TransformDataBody
OccluderArrayFile : RawFile        
GrReflectionSetting : Data           
ReflectionSettingBody : DataBody       
PhDaemon        : Entity         
PhMaterialInfo  : MaterialInfoBase
PhMaterialManager : Entity         
PhObjectParam   : Entity         
PhObject        : TransformData  
PhSubObject     : TransformData  
PhObjectDesc    : Data           
PhRigidBodyParam : Entity         
PhRigidBody     : PhSubObject    
PhShapeParam    : Entity         
PhShape         : PhSubObject    
PhPrimitiveShapeParam : PhShapeParam   
PhPrimitiveShape : PhShape        
PhPolyhedronShapeParam : PhShapeParam   
PhConstraintParam : Entity         
PhConstraint    : PhSubObject    
PhBallsocketConstraintParam : PhConstraintParam
PhBallsocketConstraint : PhConstraint   
PhHingeConstraintParam : PhConstraintParam
PhHingeConstraint : PhConstraint   
PhShoulderConstraintParam : PhConstraintParam
PhShoulderConstraint : PhConstraint   
PhMultiShoulderConstraintParam : PhConstraintParam
PhMultiShoulderConstraint : PhConstraint   
PhMultiHingeConstraintParam : PhConstraintParam
PhMultiHingeConstraint : PhConstraint   
PhStiffConstraintParam : PhConstraintParam
PhStiffConstraint : PhConstraint   
PhClothHConstraintParam : PhConstraintParam
PhClothVConstraintParam : PhConstraintParam
PhCylinderConstraintParam : PhConstraintParam
PhCylinderConstraint : PhConstraint   
PhActionParam   : Entity         
PhWindActionParam : PhActionParam  
MogFile         : RawFile        
MotionGraphEnterNodeCallback : Entity         
MotionGraphBlendValueConverter : Entity         
MotionGraphBlendValueStringConverter : MotionGraphBlendValueConverter
GkTacticalObject : Entity         
GkTacticalObjectDesc : DataElement    
GkTacticalPoint : TransformData  
GkTacticalPointBody : TransformDataBody
GkTacticalActionEdge : DataElement    
GkTacticalActionWaypoint : DataElement    
GkTacticalAction : TransformData  
GkTacticalActionBody : TransformDataBody
UiDaemon        : Entity         
UiManager       : Entity         
UiObjControl    : Entity         
ModelNodeConnection :                
UiModelNodeElement : DataElement    
UiModelData     : TransformData  
UiModelDataBody : TransformDataBody
UiLayoutData    : TransformData  
UiLayoutDataBody : TransformDataBody
UiCameraData    : Data           
UiCameraDataBody : DataBody       
UiAnimData      : Data           
UiAnimDataBody  : DataBody       
UiPaletteData   : Data           
UiPaletteDataBody : DataBody       
UiReplaceTextureData : Data           
UiAnimWorkMemoryData : Data           
UiAnimWorkMemoryDataBody : DataBody       
UiFontData      : Data           
UiFontDataBody  : DataBody       
UiFontGroupData : Data           
UiFontGroupDataBody : DataBody       
UiFontDataElement : DataElement    
UiInstanceData  : Data           
UiGraphEntry    : Data           
UiGraphEntryBody : DataBody       
UiNodeData      : Data           
UiNodeDataBody  : DataBody       
UiEventNode     : UiNodeData     
UiEventNodeBody : UiNodeDataBody 
UiActionNode    : UiNodeData     
UiActionNodeBody : UiNodeDataBody 
UiOperationNode : UiNodeData     
UiOperationNodeBody : UiNodeDataBody 
UiEdgeData      : Data           
UiEdgeDataBody  : DataBody       
TexListFile     : RawFile        
LangDaemon      : Entity         
LangFile        : RawFile        
LangData        : Data           
LangDataBody    : DataBody       
GraphxSpatialGraph : TransformDataBody
GraphxSpatialGraphData : TransformData  
GraphxSpatialGraphDataNode : DataElement    
GraphxSpatialGraphDataEdge : DataElement    
GraphxPath      : GraphxSpatialGraph
GraphxPathData  : GraphxSpatialGraphData
GraphxPathVolume : GraphxPathData 
GraphxPathVolumeBody : GraphxPath     
GraphxPathVertexInsertionInfo : ComponentInsertionInfo
FxVfxFile       : DataSetFile2   
FxVfxBinaryFile : RawFile        
FxLocatorData   : TransformData  
FxLocator       : TransformDataBody
FxLocatorGroup  : TransformData  
LocatorGroupBody : TransformDataBody
FxLocatorArrayData : TransformData  
FxLocatorArrayDataBody : TransformDataBody
SoundPackage    : Data           
SoundPackageBody : DataBody       
SoundDataFile   : DataSetFile2   
SoundDataFileInfo : Data           
SoundSource     : TransformData  
SoundSourceBody : TransformDataBody
SoundAreaGlobal : Data           
SoundAreaGlobalBody : DataBody       
SoundAreaGroup  : Data           
SoundAreaGroupBody : DataBody       
SoundAreaMember : Data           
SoundAreaMemberBody : DataBody       
SoundAreaParameter : DataElement    
SoundAreaEdge   : Data           
SoundAreaEdgeBody : DataBody       
SoundAreaEdgeParameter : DataElement    
SoundSourceTrapParameter : GeoTrapModuleCallbackDataElement
SoundPhysicsParameter : Data           
PhxAssociationUnitElement : DataElement    
PhAssociationParam : Entity         
PhxAssociation  : Data           
PhVehicleNormalEngineParam : Entity         
PhxVehicleNormalEngine : Data           
PhxVehicleTransmission : Data           
PhVehicleAxisParam : Entity         
PhxVehicleAxis  : Data           
PhxWheelConstraintParam : PhConstraintParam
PhxWheelAssociationUnitParam : Entity         
GeoxPath        : GraphxPathData 
GeoxPathBody    : GraphxPath     
GeoxPath2       : GraphxPathData 
GeoxPath2Body   : GraphxPath     
GeoxPathNode    : GraphxSpatialGraphDataNode
GeoxPathEdge    : GraphxSpatialGraphDataEdge
GeoxPathPack    : TransformData  
GeoxPathPackBody : TransformDataBody
GeoxTrapAreaPath : GraphxPathData 
GeoxTrapAreaPathBody : GraphxPath     
GeoxTextureMaterialRegister : Data           
GeoxTextureMaterialRegisterBody : DataBody       
GeoxPartsTargetObject : TransformData  
GeoxPartsTargetObjectBody : TransformDataBody
GeoxPartsTargetDefenseObject : GeoxPartsTargetObject
GeoxPartsTargetDefenseObjectBody : GeoxPartsTargetObjectBody
GeoxPartsTargetOffenseObject : GeoxPartsTargetObject
GeoxPartsTargetOffenseObjectBody : GeoxPartsTargetObjectBody
GeoxPartsTargetUnit : Data           
GeoxPartsTargetUnitBody : DataBody       
GeoxPartsTargetExtension : Data           
GeoxPartsTargetExtensionBody : DataBody       
GeoxTargetDesc  : Data           
GeoxTargetModifyCallbackBase : Entity         
GeoxTargetApplicationData : Data           
GeoxPartsTargetFollowSkeleton : Data           
GeoxPartsTargetFollowSkeletonBody : DataBody       
GeoxPathWall    : TransformData  
GeoxPathWallBody : TransformDataBody
GeoxPolygonMarker : TransformData  
GeoxPolygonMarkerBody : TransformDataBody
GeoxDynamicPolygon : TransformData  
GeoxDynamicPolygonBody : TransformDataBody
GeoxBoundingVolumeFileParameter : Data           
GeoxBoundingVolumeFileParameterLarge : Data           
GeoxDynamicBoundingVolumeArea : TransformData  
GeoxDynamicBoundingVolumeActivator : TransformData  
GeoxCollisionPrimitive : TransformData  
GeoxCollisionPrimitiveBody : TransformDataBody
CollisionLocator : TransformData  
GeoxGeomSetLoader : TransformData  
GeoxGeomSetLoaderBody : TransformDataBody
GeoxCollisionFreeShape : TransformData  
GeoxCollisionFreeShapeBody : TransformDataBody
GeoxCollisionPyraidFreeShape : TransformData  
GeoxCollisionPyraidFreeShapeBody : TransformDataBody
NavxNavBlock    : Data           
NavxNavBlockBody : DataBody       
NavxNavigableParameter : DataElement    
NavxWorldGenerateParameter : TransformData  
NavxWorldGenerateParameterBody : TransformDataBody
NavxBounderData : TransformData  
NavxBounderDataBody : TransformDataBody
NavxSwitchBounderData : NavxBounderData
NavxSwitchBounderDataBody : NavxBounderDataBody
NavxSquareGraphBounderData : NavxBounderData
NavxSquareGraphBounderDataBody : NavxBounderDataBody
NavxBounderLocator : TransformData  
NavxBounderLocatorBody : TransformDataBody
NavxNavFileLocator : TransformData  
NavxNavFileLocatorBody : TransformDataBody
NavxNavFilter   : TransformData  
NavxNavFilterBody : TransformDataBody
NavxNavFilterVolume : GraphxPathVolume
NavxNavFilterVolumeBody : GraphxPathVolumeBody
NavxKeepNavLocator : TransformData  
NavxKeepNavLocatorBody : TransformDataBody
NavxAttributeInfo : DataElement    
NavxAttributePathVolume : GraphxPathVolume
NavxAttributePathVolumeBody : GraphxPathVolumeBody
NavxHoleSimplificationParameterVolume : TransformData  
NavxHoleSimplificationParameterVolumeBody : TransformDataBody
NavxFillNavVolume : TransformData  
NavxFillNavVolumeBody : TransformDataBody
NavxNavFileConnector : TransformData  
NavxNavFileConnectorBody : TransformDataBody
PluginAngleLimit :                
HelpBoneFile    : RawFile        
SimDaemon       : Entity         
SimObjectParam  : Entity         
SimEngineParam  : Entity         
SimEngineOnPhysicsParam : SimEngineParam 
SimEngineOnPhysicsDefaultInfo : DataElement    
SimObject       : Data           
SimOnPhysics    : SimObject      
SimAssociationUnitParam : Entity         
SimAssociationUnit : PhxAssociationUnitElement
SimControlElement : DataElement    
SimWindControl  : SimControlElement
SimGravityControl : SimControlElement
SimInertialControl : SimControlElement
SimDirectionControl : SimControlElement
SimClothControl : SimControlElement
SimClothControlUnit : DataElement    
SimHitGroupControl : SimControlElement
SimControlParam : Entity         
SimWindControlParam : SimControlParam
SimGravityControlParam : SimControlParam
SimInertialControlParam : SimControlParam
SimDirectionControlParam : SimControlParam
SimClothControlParam : SimControlParam
SimClothControlUnitParam : Entity         
SimHitGroupControlParam : SimControlParam
SimClothSettingData : Data           
DesDaemon       : Entity         
DesParamData    : Data           
DesEffectData   : Data           
DesFixData      : Data           
DemoModelDataNode : Data           
PartsDesc       : DataElement    
ClipData        : DataElement    
FxBaseLocator   : TransformData  
BaseLocatorBody : TransformDataBody
DemoBlockPositionSetter : TransformData  
DemoBlockPositionSetterBody : TransformDataBody
DemoParameter   : DataElement    
DemoControlCharacterDesc : DataElement    
DemoFileProxy   : Data           
DemoFileProxyBody : DataBody       
ProceduralDemoData : TransformData  
Pad             : Entity         
Pad2            : Entity         
PadMapping      : Entity         
CameraPriority  : Entity         
Camera          : Entity         
CameraSelector  : Entity         
AimCamera       : Camera         
OrthogonalCamera : Camera         
OrthogonalAimCamera : AimCamera      
GkPathLineTarget : GraphxPathData 
GkPathLineTargetBody : GraphxPath     
GkTargetData    : TargetExtensionData
GkOffenseTargetData : GkTargetData   
GkDefenseTargetData : GkTargetData   
GkTargetHitInfo : Entity         
TargetHitInfoCollector : Entity         
StaticModel     : TransformData  
StaticModelBody : TransformDataBody
StaticModelArray : Data           
StaticModelArrayBody : DataBody       
StaticModelArrayLinkTarget : Data           
StaticModelArrayLinkTargetBody : DataBody       
StaticModelArrayLocator : TransformData  
StaticModelArrayLocatorBody : TransformDataBody
StaticModelArrayPathFilter : Data           
StageModel      : TransformData  
StageModelBody  : TransformDataBody
Decal           : TransformData  
DecalBody       : TransformDataBody
DecalArray      : TransformData  
DecalArrayBody  : TransformDataBody
OpticalCamo     : Data           
OpticalCamoBody : DataBody       
OverlayModel    : Data           
OverlayModelBody : DataBody       
PauseController : Actor          
TerrainRender   : TransformData  
TerrainRenderBody : TransformDataBody
TerrainBody     : TransformDataBody
Terrain         : TransformData  
LevelingTerrain : TransformData  
LevelingTerrainBody : TransformDataBody
TerrainHole     : TransformData  
TerrainHoleBody : TransformDataBody
TerrainDecal    : TransformData  
TerrainDecalBody : TransformDataBody
TerrainDecalPack : Data           
TerrainDecalPackBody : DataBody       
FoxTerrainDecalPackFile : RawFile        
TerrainBlock    : Data           
TerrainBlockBody : DataBody       
ObjectBrush     : TransformData  
ObjectBrushBody : TransformDataBody
ObjectBrushBlock : Data           
ObjectBrushPlugin : Data           
ObjectBrushPluginBody : DataBody       
ObjectBrushPluginStaticModel : ObjectBrushPlugin
ObjectBrushPluginStaticModelBody : ObjectBrushPluginBody
ObjectBrushPluginClone : ObjectBrushPlugin
ObjectBrushPluginCloneBody : ObjectBrushPluginBody
ViewGroupControlCondition : Data           
FoxTrapExecViewGroupControlCallbackDataElement : GeoTrapModuleCallbackDataElement
GkSightCheckParam : Entity         
GkSightCheckParamContainer : Entity         
GkConeSightCheckParam : GkSightCheckParam
GkSmartObject   : Data           
GkSmartObjectBody : DataBody       
GkSmartObjectSet : Data           
GkSmartObjectSetBody : DataBody       
FoxFadeIo       : Actor          
LadbFile        : RawFile        
SubtitlesDaemon : Entity         
SubtitlesGenerator : UiGraphEntry   
SubtitlesGeneratorBody : UiGraphEntryBody
SubtitlesPackage : Data           
SubtitlesPackageBody : DataBody       
SubtitlesPackageFile : RawFile        
SubtitlesBlockControllerData : Data           
SubtitlesBlockControllerDataBody : DataBody       
SubtitlesOptionBlockControllerData : Data           
SubtitlesOptionBlockControllerDataBody : DataBody       
SubtitlesTrapCondition : GeoTrapCondition
SubtitlesTrapConditionBody : GeoTrapConditionBody
EvSubtitlesNodeBody : UiEventNodeBody
EvSubtitlesNode : UiEventNode    
EvControlSubtitlesNodeBody : UiEventNodeBody
EvControlSubtitlesNode : UiEventNode    
Checkpoint      : Entity         
CheckpointDaemon : Entity         
CheckpointContainer : Entity         
CheckpointUnit  : Entity         
CheckpointObserver : Entity         
CheckpointData  : Entity         
CheckpointTrapScriptModuleCondition : GeoTrapScriptModuleCondition
CheckpointTrapScriptModuleConditionBody : GeoTrapScriptModuleConditionBody
GameSequenceController : Entity         
EnvironmentDaemon : Entity         
EnvironmentManager : Entity         
EnvironmentGlobal : Data           
EnvironmentGlobalBody : DataBody       
EnvironmentArea : TransformData  
EnvironmentAreaBody : TransformDataBody
EnvironmentParameter : DataElement    
EnvironmentObject : Entity         
WindManager     : EnvironmentManager
WindGlobal      : EnvironmentGlobal
WindGlobalBody  : EnvironmentGlobalBody
WindArea        : EnvironmentArea
WindAreaBody    : EnvironmentAreaBody
WindParameter   : EnvironmentParameter
WindObject      : EnvironmentObject
GameScript      : Data           
GameScriptBody  : DataBody       
GameScriptCheckpointObserver : CheckpointObserver
GkEventTimerData : Data           
GkEventTimer    : DataBody       
GkEventTimerManager : Entity         
Watermark       : Data           
WatermarkBody   : DataBody       
IntervalRegulator : Entity         
StageBlockLowModel : Data           
StageBlockLowModelBody : DataBody       
StageLightFadeData : Data           
StageLightFadeDataBody : DataBody       
TexturePackLoadConditioner : Data           
TexturePackLoadConditionerBody : DataBody       
PartDescription : Data           
ModelDescription : PartDescription
DestructionModelDescription : ModelDescription
ConnectModelDescription : ModelDescription
CoverModelDescription : ModelDescription
FoxOffsetModelDescription : ModelDescription
EffectDescription : PartDescription
BounderDescription : PartDescription
GeomDescription : PartDescription
GeomSkeletonDescription : PartDescription
FoxTargetDescription : PartDescription
PhysicsDescription : PartDescription
SimDescription  : PartDescription
SoundDescription : PartDescription
ClothDescription : PartDescription
VehicleDescription : PartDescription
FileResourceDescription : PartDescription
FormVariationFile2 : RawFile        
TppDefaultParameterElement : DataElement    
TppDefaultParameterContainer : Data           
TppDefaultParameter : TppDefaultParameterContainer
TppLocationInformationData : Data           
TppLocationData : Data           
TppWeatherManager : Entity         
